lead_id,created_at,source,product,region,rep,response_time_hours,stage_reached,status,lost_reason,deal_value,closed_at
LD-300022,04/09/2025 19:52,Referral,K-12 Math,West Region,Rep_08,1.76,Closed,Won,,443.38,2025-05-14 21:34:45.733557
LD-300023,2025-01-30 18:27:00,Webinar,Study Abroad Prep,International,Rep_10,7.24,Contacted,Open,,,
LD-300024,18-Apr-2025 09:52,Webinar,Language Learning,South Region,Rep_12,2.76,Contacted,Open,,,
LD-300025,08/25/2025 14:06,Social Media,Language Learning,South Region,Rep_07,6.56,Lead,Open,,,
LD-300026,07/18/2025 12:47,Webinar,Study Abroad Prep,North Region,Rep_01,1.39,Demo Scheduled,Open,,,
LD-300027,28-Feb-2025 08:10,Social,Competitive Exam Prep,East Region,Rep_04,1.33,Lead,Open,,,
LD-300028,13-Feb-2026 10:50,Social Media,K-12 Math,South Region,Rep_12,1.08,Demo Scheduled,Open,,,
LD-300029,05/16/2025 19:39,Paid Search,K-12  Math,North Region,Rep_01,3.12,Contacted,Open,,,
LD-300030,27-Nov-2025 13:56,Referral,K-12 Math,,Rep_03,4.02,Negotiation,Lost,Price Objection,$447.90,2026-01-24 08:30:40.903513
LD-300031,2026-02-06 14:26:00,Cold Outreach,K-12 Math,South Region,Rep_07,22.8,Contacted,Open,,,
LD-300032,04/12/2026 19:06,Webinar,Coding for Kids,East Region,Rep_14,8.48,Proposal Sent,Lost,Price Objection,549.71,2026-05-23 18:53:38.125827
LD-300033,04/03/2025 20:22,Webinar,Competitive Exam Prep,East Region,Rep_09,7.92,Negotiation,Lost,Price Objection,813.36,2025-05-31 22:08:19.446724
LD-300034,2025-12-24 20:45:00,Paid Search,Language Learning,West Region,Rep_08,6.48,Contacted,Open,,,
LD-300035,20-Jan-2025 20:37,Social Media,Coding for Kids,West Region,Rep_03,1.46,Demo Completed,Lost,No Response / Ghosted,727.15,2025-02-21 23:44:22.327292
LD-300036,2025-03-25 13:49:00,Webinar,Coding for Kids,West Region,Rep_08,1.36,Negotiation,Lost,No Response / Ghosted,703.8,2025-05-04 10:39:20.298738
LD-300037,2026-05-04 07:42:00,Cold Outreach,Coding for Kids,West Region,Rep_08,1.37,Lead,Open,,,
LD-300038,05/16/2025 15:22,Paid Search,Competitive Exam Prep,South Region,Rep_07,1.25,Contacted,Open,,,
LD-300039,26-Feb-2026 20:16,Paid Search,K-12 Math,East Region,Rep_14,18.15,Lead,Open,,,
LD-300040,03/13/2025 08:13,Paid  Search,Competitive Exam Prep,North Region,Rep_11,5.64,Contacted,Open,,,
LD-300041,03/18/2026 17:40,Paid Search,Coding for Kids,North Region,Rep_06,8.36,Lead,Open,,,
LD-300042,14-Mar-2026 17:30,Webinar,Competitive Exam Prep,North Region,Rep_01,1.37,Closed,Won,,904.9,2026-04-30 00:05:39.115725
LD-300043,08/05/2025 07:38,Webinar,Coding for Kids,,Rep_06,2.98,Contacted,Open,,,
LD-300044,02/23/2026 19:16,Referral,Language Learning,East Region,Rep_09,0.92,Negotiation,Lost,Price Objection,$311.45,2026-03-24 04:39:50.403026
LD-300045,05-Jun-2026 13:50,Organic search,K-12 Math,East Region,Rep_04,5.34,Contacted,Open,,,
LD-300046,09/14/2025 18:40,Cold Outreach,Coding for Kids,North Region,Rep_01,3.62,Lead,Open,,,
LD-300047,15-Jul-2025 17:56,Partner Channel,Study Abroad Prep,North Region,Rep_01,7.02,Contacted,Open,,,
LD-300048,2026-05-27 20:22:00,Referral,CODING FOR KIDS,West Region,Rep_08,3.41,Closed,Won,,572.7,2026-06-29 01:06:46.159443
LD-300049,28-May-2025 11:58,Partner Channel,K-12 Math,East Region,Rep_09,1.27,Demo Completed,Lost,No Response / Ghosted,459.38,2025-06-21 00:50:06.965092
LD-300050,18-Feb-2026 20:45,Referral,K-12 Math,East Region,Rep_04,0.27,Closed,Won,,464.24,2026-04-01 16:27:38.559368
LD-300051,27-Jan-2026 17:56,Webinar,Competitive Exam Prep,West Region,Rep_08,1.12,Contacted,Open,,,
LD-300052,11/02/2025 16:13,Paid Search,Competitive Exam Prep,East Region,Rep_04,8.27,Negotiation,Lost,Price Objection,1000.06,2025-12-11 05:57:50.501004
LD-300053,10/14/2025 08:23,Cold Outreach,Competitive Exam Prep,East Region,Rep_04,2.19,Lead,Open,,,
LD-300054,2025-09-02 19:57:00,Organic Search,Coding for Kids,South Region,Rep_12,2.6,Contacted,Open,,,
LD-300055,08/22/2025 13:58,Partner Channel,Competitive Exam Prep,North Region,Rep_06,2.89,Contacted,Open,,,
LD-300056,2025-05-08 20:34:00,Referral,Competitive Exam Prep,West Region,Rep_08,2.61,Closed,Won,,960.65,2025-06-16 17:50:27.592409
LD-300057,13-Aug-2025 10:46,Social Media,coding for kids,West Region,Rep_08,15.1,Demo Completed,Lost,Price Objection,574.74,2025-09-16 07:25:05.485357
LD-300058,26-Sep-2025 13:29,organic search,K-12 Math,South Region,Rep_12,2.14,Demo Scheduled,Open,,,
LD-300059,02/20/2026 17:48,Webinar,Competitive Exam Prep,East Region,Rep_04,3.49,Contacted,Open,,,
LD-300060,26-Nov-2025 16:14,Organic Search,k-12 math,South Region,Rep_07,1.72,Proposal Sent,Lost,Price Objection,552.96,2025-12-22 02:45:06.304175
LD-300061,2026-04-17 12:12:00,COLD OUTREACH,Competitive Exam Prep,West Region,Rep_13,2.8,Contacted,Open,,,
LD-300062,03/10/2026 20:40,Referral,Competitive Exam Prep,North Region,Rep_01,12.16,Contacted,Open,,,
LD-300063,06/19/2026 08:42,Paid Search,Study Abroad Prep,North Region,Rep_01,5.18,Contacted,Open,,,
LD-300064,05/19/2026 13:50,Webinar,Coding for Kids,International,Rep_10,2.27,Contacted,Open,,,
LD-300065,01/19/2026 19:04,Paid Search,Competitive Exam Prep,International,Rep_15,1.32,Contacted,Open,,,
LD-300066,2026-02-12 12:13:00,Social Media,Competitive Exam Prep,South Region,Rep_12,4.01,Contacted,Open,,,
LD-300067,01/24/2025 14:28,Webinar,K-12 Math,North Region,Rep_11,2.48,Closed,Won,,485.63,2025-02-24 23:37:36.990452
LD-300068,15-May-2026 15:56,Paid Search,Coding for Kids,West Region,Rep_03,2.03,Contacted,Open,,,
LD-300069,2025-06-19 09:43:00,Organic Search,Study Abroad Prep,South Region,Rep_02,0.44,Lead,Open,,,
LD-300070,2025-09-18 20:47:00,SOCIAL MEDIA,Coding for Kids,West Region,Rep_03,6.31,Negotiation,Lost,Price Objection,$529.34,2025-10-28 04:15:35.442355
LD-300071,11/21/2025 10:23,Cold Outreach,Coding for Kids,North Region,Rep_11,8.56,Demo Scheduled,Open,,,
LD-300072,22-Apr-2025 08:15,Cold Outreach,Competitive Exam Prep,South Region,Rep_02,19.31,Lead,Open,,,
LD-300073,11-Oct-2025 16:06,Organic Search,K-12 Math,West Region,Rep_08,5.22,Closed,Won,,414.78,2025-11-13 01:28:41.921589
LD-300074,02-May-2025 18:19,Cold Outreach,Competitive Exam Prep,,Rep_12,3.25,Demo Completed,Lost,Went With Competitor,1164.37,2025-06-04 05:01:54.067642
LD-300075,08/28/2025 14:07,Organic Search,Study Abroad Prep,West Region,Rep_03,5.77,Contacted,Open,,,
LD-300076,05/18/2026 20:21,Organic Search,K-12  Math,South Region,Rep_12,8.49,Contacted,Open,,,
LD-300077,03/06/2025 09:24,Organic Search,CODING FOR KIDS,North Region,Rep_11,6.65,Lead,Open,,,
LD-300078,08/06/2025 14:15,Social Media,Coding for Kids,North Region,Rep_01,2.92,Contacted,Open,,,
LD-300079,04/26/2026 14:59,Organic Search,Study Abroad Prep,International,Rep_05,9.22,Proposal Sent,Lost,Price Objection,"$1,493.43",2026-06-19 09:03:14.537196
LD-300080,09/26/2025 12:56,Paid Search,Coding For Kids,North Region,Rep_06,5.8,Lead,Open,,,
LD-300081,2025-08-27 20:08:00,Webinar,K-12 Math,International,Rep_15,1.32,Contacted,Open,,,
LD-300082,24-Jul-2025 14:36,Social Media,Competitive Exam Prep,North Region,Rep_01,2.76,Lead,Open,,,
LD-300083,2026-05-08 19:43:00,Organic Search,K-12 Math,North Region,Rep_01,1.34,Proposal Sent,Lost,Price Objection,467.4,2026-06-12 00:03:20.076902
LD-300084,12/04/2025 19:27,Social Media,Language Learning,,Rep_08,0.52,Closed,Won,,303.78,2026-01-05 05:54:32.836208
LD-300085,03/18/2026 18:31,Social,K-12 Math,West Region,Rep_13,2.82,Contacted,Open,,,
LD-300086,20-Mar-2026 14:44,Social Media,Language Learning,West Region,Rep_03,2.96,Lead,Open,,,
LD-300087,09-Oct-2025 17:46,Paid Search,Language Learning,North Region,Rep_06,2.58,Lead,Open,,,
LD-300088,2026-06-26 14:23:00,Social Media,Competitive Exam Prep,South Region,Rep_12,2.02,Contacted,Open,,,
LD-300089,04-Dec-2025 20:54,SEO,Study Abroad Prep,,Rep_13,1.59,Contacted,Open,,,
LD-300090,23-Feb-2026 09:31,Paid Search,Coding for Kids,East Region,Rep_09,8.89,Demo Scheduled,Open,,,
LD-300091,08/07/2025 08:26,Referral,Competitive Exam Prep,East Region,Rep_14,4.16,Negotiation,Lost,Price Objection,1181.29,2025-09-16 10:00:49.420102
LD-300092,01/17/2025 13:02,Cold Outreach,Coding for Kids,East Region,Rep_14,2.7,Lead,Open,,,
LD-300093,2025-09-05 07:05:00,Organic Search,K12 Math,South Region,Rep_12,0.99,Closed,Won,,$496.76,2025-10-16 12:05:33.132715
LD-300094,08/14/2025 19:49,Organic Search,Competitive Exam Prep,South Region,Rep_07,1.57,Proposal Sent,Lost,Bad Timing,914.85,2025-10-07 02:50:04.365043
LD-300095,04-Feb-2025 08:16,Paid Search,Language Learning,West Region,Rep_13,3.37,Demo Scheduled,Open,,,
LD-300096,06/05/2025 11:09,Cold Outreach,Competitive Exam Prep,North Region,Rep_01,0.79,Contacted,Open,,,
LD-300097,2025-11-26 19:33:00,Organic Search,Competitive Exam Prep,South Region,Rep_12,1.27,Contacted,Open,,,
LD-300098,03-Apr-2025 12:49,Social Media,Competitive Exam Prep,International,Rep_05,0.61,Contacted,Open,,,
LD-300099,2025-01-19 11:49:00,Partner Channel,K-12  Math,North Region,Rep_11,2.67,Closed,Won,,434.29,2025-03-14 19:33:26.178526
LD-300100,2026-01-06 12:47:00,Social Media,Coding for Kids,International,Rep_15,2.16,Lead,Open,,,
LD-300101,03/06/2026 19:14,Organic Search,Study Abroad Prep,North Region,Rep_06,3.05,Lead,Open,,,
LD-300102,10-Jan-2025 15:21,Webinar,K-12 Math,North Region,Rep_11,13.92,Contacted,Open,,,
LD-300103,03/27/2026 15:41,COLD OUTREACH,K-12 Math,West Region,Rep_03,9.57,Lead,Open,,,
LD-300104,23-Feb-2026 09:31,Social Media,Coding for Kids,International,Rep_10,9.45,Contacted,Open,,,
LD-300105,02/16/2026 20:25,Webinar,K-12 Math,South Region,Rep_02,2.12,Contacted,Open,,,
LD-300106,12/29/2025 12:38,Social Media,Competitive Exam Prep,South Region,Rep_12,1.59,Demo Completed,Lost,Went With Competitor,1150.37,2026-01-31 10:46:27.534180
LD-300107,2026-04-24 12:11:00,Social Media,Coding For Kids,International,Rep_10,3.72,Lead,Open,,,
LD-300108,2026-03-16 16:15:00,Referral,Language Learning,South Region,Rep_12,10.12,Closed,Won,,$367.36,2026-04-30 10:57:30.587351
LD-300109,2025-03-31 15:13:00,PPC,Language Learning,South Region,Rep_07,12.52,Contacted,Open,,,
LD-300110,31-Jan-2026 15:13,Organic Search,Language Learning,South Region,Rep_12,1.81,Negotiation,Lost,Went With Competitor,291.39,2026-03-14 06:13:13.093744
LD-300111,02/03/2025 13:50,Paid Search,K-12 Math,West Region,Rep_03,3.88,Contacted,Open,,,
LD-300112,12/26/2025 08:15,Organic Search,Competitive Exam Prep,South Region,Rep_12,5.55,Contacted,Open,,,
LD-300113,2025-07-04 20:29:00,Webinar,K-12 Math,West Region,Rep_08,3.88,Demo Completed,Lost,Bad Timing,596.97,2025-08-14 05:35:53.477437
LD-300114,03/06/2026 17:56,Paid Search,Coding for Kids,International,Rep_10,7.21,Contacted,Open,,,
LD-300115,2025-08-15 13:56:00,Referral,Coding for Kids,South Region,Rep_12,1.2,Closed,Won,,731.11,2025-09-22 16:20:26.051770
LD-300116,03/28/2026 17:10,Cold Outreach,Competitive Exam Prep,West Region,Rep_13,3.41,Demo Completed,Lost,No Response / Ghosted,1181.44,2026-04-28 17:46:14.907042
LD-300117,08/06/2025 10:08,Organic Search,Competitive Exam Prep,International,Rep_10,0.69,Contacted,Open,,,
LD-300118,2026-01-30 18:35:00,Social Media,K-12 Math,South Region,Rep_07,2.21,Lead,Open,,,
LD-300119,31-Jul-2025 11:23,Partner Channel,K-12 Math,International,Rep_05,1.59,Negotiation,Lost,Price Objection,$438.60,2025-09-17 06:39:05.328985
LD-300120,2026-01-02 07:59:00,Organic Search,K-12 Math,West Region,Rep_13,0.83,Proposal Sent,Lost,No Response / Ghosted,503.0,2026-02-08 09:23:26.333811
LD-300121,2025-08-15 10:12:00,Paid Search,Study Abroad Prep,East Region,Rep_04,1.28,Lead,Open,,,
LD-300122,09-May-2025 11:54,Paid Search,Competitive Exam Prep,,Rep_09,9.23,Contacted,Open,,,
LD-300123,17-Oct-2025 16:18,Organic Search,K-12 Math,South Region,Rep_12,4.69,Contacted,Open,,,
LD-300124,18-Apr-2026 07:09,Partner Channel,coding for kids,,Rep_02,3.77,Proposal Sent,Lost,Price Objection,724.34,2026-05-21 00:42:56.478330
LD-300125,2025-10-23 16:30:00,Paid Search,Coding for Kids,West Region,Rep_03,13.52,Contacted,Open,,,
LD-300126,2025-04-08 17:38:00,Organic Search,K-12 Math,North Region,Rep_06,9.44,Demo Scheduled,Open,,,
LD-300127,07/19/2025 07:11,Social Media,Competitive Exam Prep,South Region,Rep_02,4.44,Contacted,Open,,,
LD-300128,12/19/2025 11:51,Cold Outreach,Competitive Exam Prep,West Region,Rep_03,0.65,Lead,Open,,,
LD-300129,12/07/2025 19:48,Social Media,K-12 Math,South Region,Rep_07,1.0,Lead,Open,,,
LD-300130,02/06/2026 18:15,Paid Search,Competitive Exam Prep,International,Rep_05,1.35,Lead,Open,,,
LD-300131,2025-04-28 17:02:00,Paid Search,Competitive Exam Prep,North Region,Rep_11,1.07,Proposal Sent,Lost,Bad Timing,892.09,2025-05-29 03:59:37.554165
LD-300132,25-Feb-2025 19:43,Social Media,K-12 Math,North Region,Rep_11,2.9,Contacted,Open,,,
LD-300133,03/07/2025 11:27,Paid Search,Coding for Kids,South Region,Rep_07,6.26,Contacted,Open,,,
LD-300134,05/01/2025 16:22,Cold Outreach,Language Learning,West Region,Rep_13,5.86,Contacted,Open,,,
LD-300135,2025-11-05 10:35:00,Paid Search,K-12  Math,West Region,Rep_03,0.67,Contacted,Open,,,
LD-300136,03/10/2025 18:34,Organic Search,k-12 math,South Region,Rep_02,1.54,Contacted,Open,,,
LD-300137,2026-06-29 14:58:00,Paid Search,Coding for Kids,West Region,Rep_13,1.17,Contacted,Open,,,
LD-300138,2026-02-25 10:21:00,Social Media,Competitive Exam Prep,South Region,Rep_07,3.37,Contacted,Open,,,
LD-300139,10-Nov-2025 07:24,Organic Search,K-12 Math,International,Rep_10,1.49,Demo Scheduled,Open,,,
LD-300140,04/08/2026 09:09,Paid Search,K-12 Math,West Region,Rep_08,1.61,Proposal Sent,Lost,Price Objection,463.67,2026-05-11 21:49:35.040118
LD-300141,07-Apr-2026 20:55,Organic Search,Competitive Exam Prep,West Region,Rep_03,2.51,Contacted,Open,,,
LD-300142,20-Mar-2026 09:28,Organic Search,Language Learning,East Region,Rep_14,3.09,Contacted,Open,,,
LD-300143,12/09/2025 13:14,Social Media,Competitive Exam Prep,South Region,Rep_12,0.91,Closed,Won,,998.27,2026-01-07 16:32:10.563562
LD-300144,03/09/2026 16:41,Cold Outreach,Competitive Exam Prep,,Rep_12,4.36,Demo Scheduled,Open,,,
LD-300145,06/02/2026 15:07,Partner Channel,Competitive Exam Prep,West Region,Rep_03,9.44,Demo Completed,Lost,Price Objection,979.19,2026-06-29 09:56:55.168991
LD-300146,06/09/2025 07:15,Organic Search,Competitive Exam Prep,North Region,Rep_11,3.12,Contacted,Open,,,
LD-300147,07/02/2025 16:09,Cold Outreach,Language Learning,South Region,Rep_07,1.3,Lead,Open,,,
LD-300148,03/14/2025 15:06,Cold Outreach,Study Abroad Prep,South Region,Rep_07,8.72,Lead,Open,,,
LD-300149,30-Jan-2025 16:53,Social Media,Competitive Exam Prep,International,Rep_05,8.85,Contacted,Open,,,
LD-300150,30-Jun-2025 20:11,Social Media,Study Abroad Prep,North Region,Rep_01,1.69,Lead,Open,,,
LD-300151,12/07/2025 08:53,Organic Search,Coding for Kids,West Region,Rep_13,1.48,Demo Completed,Lost,Went With Competitor,648.59,2026-01-11 07:04:40.118489
LD-300152,2025-01-21 10:18:00,Partner Channel,Competitive Exam Prep,West Region,Rep_08,1.14,Demo Completed,Lost,No Response / Ghosted,913.27,2025-03-11 05:50:06.615876
LD-300153,04/09/2026 14:07,Organic Search,Competitive Exam Prep,West Region,Rep_03,5.66,Demo Completed,Lost,Went With Competitor,1124.65,2026-05-16 13:41:15.429469
LD-300154,2026-01-30 12:12:00,Webinar,Competitive Exam Prep,East Region,Rep_14,3.6,Proposal Sent,Lost,Price Objection,1009.47,2026-03-24 08:28:33.181285
LD-300155,03/07/2025 08:51,Referral,Language Learning,West Region,Rep_13,2.33,Contacted,Open,,,
LD-300156,2025-03-01 10:26:00,Paid Search,Competitive Exam Prep,South Region,Rep_12,3.08,Proposal Sent,Lost,Went With Competitor,968.12,2025-04-09 13:59:19.728308
LD-300157,06/29/2026 14:28,Paid Search,Competitive Exam Prep,West Region,Rep_13,1.88,Lead,Open,,,
LD-300158,04/09/2025 13:40,Webinar,Language Learning,West Region,Rep_03,2.46,Contacted,Open,,,
LD-300159,15-Nov-2025 19:42,Paid Search,Coding for Kids,West Region,Rep_08,3.67,Contacted,Open,,,
LD-300160,04/21/2026 07:09,Social Media,Language Learning,South Region,Rep_12,0.36,Demo Completed,Lost,Price Objection,$364.32,2026-05-10 12:00:02.146823
LD-300161,2025-03-21 16:35:00,Cold Outreach,K-12 Math,East Region,Rep_14,3.64,Lead,Open,,,
LD-300162,31-Oct-2025 17:15,Cold Outreach,K-12 Math,North Region,Rep_11,2.59,Contacted,Open,,,
LD-300163,01/10/2025 09:07,Webinar,K-12 Math,South Region,Rep_12,3.83,Closed,Won,,541.66,2025-02-12 23:49:00.342015
LD-300164,03/15/2026 16:06,Referral,Study Abroad Prep,South Region,Rep_12,2.06,Contacted,Open,,,
LD-300165,2026-05-03 15:45:00,Paid Search,Language Learning,North Region,Rep_06,1.29,Contacted,Open,,,
LD-300166,2025-12-26 07:37:00,Referral,Language Learning,South Region,Rep_02,7.1,Closed,Won,,301.61,2026-02-02 09:33:15.998939
LD-300167,11/23/2025 09:21,Webinar,k-12 math,International,Rep_15,3.13,Closed,Won,,458.4,2026-01-04 05:41:41.938970
LD-300168,02/27/2025 17:27,Organic Search,Study Abroad Prep,South Region,Rep_02,3.24,Demo Completed,Lost,Bad Timing,1321.0,2025-03-31 12:53:27.572940
LD-300169,03/08/2025 09:58,Organic Search,Language Learning,West Region,Rep_03,3.82,Contacted,Open,,,
LD-300170,2025-03-28 11:41:00,Organic Search,Competitive Exam Prep,North Region,Rep_11,3.76,Contacted,Open,,,
LD-300171,2025-05-04 14:46:00,Referral,K-12 Math,West Region,Rep_08,0.79,Closed,Won,,415.79,2025-06-14 04:49:31.884130
LD-300172,2025-06-27 19:12:00,Webinar,Language Learning,West Region,Rep_13,4.6,Closed,Won,,$382.75,2025-08-11 02:27:25.542150
LD-300173,2025-05-02 11:06:00,Partner Channel,Coding for Kids,South Region,Rep_07,1.65,Contacted,Open,,,
LD-300174,2025-06-13 18:14:00,Social Media,Language Learning,South Region,Rep_07,14.17,Demo Completed,Lost,No Response / Ghosted,$349.42,2025-07-12 09:00:24.522141
LD-300175,05-Apr-2026 08:56,Social Media,Coding for Kids,South Region,Rep_07,2.2,Proposal Sent,Lost,Went With Competitor,757.04,2026-05-04 14:37:45.454412
LD-300176,20-Jun-2025 17:30,Paid Search,Language Learning,South Region,Rep_12,1.46,Lead,Open,,,
LD-300177,24-Jul-2025 16:31,Social,Language Learning,North Region,Rep_11,1.4,Demo Completed,Lost,Went With Competitor,$391.35,2025-08-26 04:26:19.838031
LD-300178,2025-06-04 13:10:00,Organic Search,K-12 Math,,Rep_08,2.13,Contacted,Open,,,
LD-300179,31-Mar-2026 11:13,Cold Outreach,K-12 Math,East Region,Rep_14,6.19,Lead,Open,,,
LD-300180,24-Apr-2026 18:36,paid search,Language Learning,International,Rep_10,5.49,Lead,Open,,,
LD-300181,06/16/2026 10:15,Organic Search,Coding for Kids,South Region,Rep_02,14.7,Contacted,Open,,,
LD-300182,07/10/2025 07:53,Referral,k-12 math,South Region,Rep_07,4.66,Lead,Open,,,
LD-300183,16-Sep-2025 18:57,Webinar,Competitive Exam Prep,North Region,Rep_01,1.09,Closed,Won,,901.66,2025-10-28 01:05:53.679192
LD-300184,08/12/2025 11:11,Paid Search,Study Abroad Prep,North Region,Rep_01,10.61,Contacted,Open,,,
LD-300185,07-Feb-2025 10:09,Referral,Language Learning,,Rep_12,4.45,Proposal Sent,Lost,Price Objection,$304.02,2025-03-14 17:53:46.518614
LD-300186,28-Apr-2026 09:22,Organic Search,Competitive Exam Prep,North Region,Rep_11,5.37,Contacted,Open,,,
LD-300187,05/20/2026 16:56,Partner Channel,K-12 Math,West Region,Rep_13,1.75,Contacted,Open,,,
LD-300188,2026-03-27 15:56:00,Social Media,K-12 Math,East Region,Rep_04,1.09,Lead,Open,,,
LD-300189,23-Mar-2026 08:03,Organic Search,Language Learning,West Region,Rep_08,1.82,Closed,Won,,375.52,2026-05-19 06:14:29.251920
LD-300190,07/04/2025 07:15,Webinar,K-12 Math,South Region,Rep_02,5.25,Closed,Won,,528.3,2025-08-18 20:19:34.155664
LD-300191,2026-06-18 12:21:00,Webinar,coding for kids,,Rep_01,5.9,Contacted,Open,,,
LD-300192,28-Aug-2025 14:27,Referral,K-12 Math,West Region,Rep_03,6.23,Negotiation,Lost,Price Objection,$482.65,2025-10-23 22:07:50.507283
LD-300193,05-Feb-2026 10:50,cold outreach,K-12 Math,North Region,Rep_01,3.27,Contacted,Open,,,
LD-300194,2026-03-10 17:09:00,Organic Search,K-12 Math,International,Rep_10,1.88,Proposal Sent,Lost,No Response / Ghosted,551.59,2026-04-18 11:14:30.564780
LD-300195,23-Aug-2025 09:50,Partner Channel,Competitive Exam Prep,East Region,Rep_09,2.19,Lead,Open,,,
LD-300196,04/15/2025 11:57,Paid Search,Competitive Exam Prep,South Region,Rep_07,4.31,Contacted,Open,,,
LD-300197,29-Jun-2026 18:11,Paid  Search,Coding for Kids,International,Rep_05,39.88,Contacted,Open,,,
LD-300198,09/05/2025 19:44,Paid Search,Language Learning,East Region,Rep_14,5.53,Demo Scheduled,Open,,,
LD-300199,2025-11-11 12:37:00,Paid Search,Competitive Exam Prep,West Region,Rep_13,1.01,Proposal Sent,Lost,Price Objection,1021.5,2025-12-17 00:07:14.208179
LD-300200,21-Apr-2026 14:19,Webinar,K-12 Math,East Region,Rep_14,1.26,Contacted,Open,,,
LD-300201,01-Aug-2025 16:36,Webinar,K-12 Math,East Region,Rep_14,2.63,Negotiation,Lost,Price Objection,$541.28,2025-10-03 17:43:04.642955
LD-300202,02/19/2026 07:42,Social Media,K-12 Math,North Region,Rep_11,4.04,Demo Completed,Lost,No Response / Ghosted,420.26,2026-03-22 04:59:31.173606
LD-300203,2025-06-16 19:50:00,Referral,Study Abroad Prep,West Region,Rep_13,5.62,Negotiation,Lost,Bad Timing,1533.79,2025-07-29 06:13:51.025540
LD-300204,2025-04-21 10:47:00,cold outreach,Study Abroad Prep,North Region,Rep_06,3.57,Lead,Open,,,
LD-300205,22-Mar-2025 19:39,Referral,Study Abroad Prep,South Region,Rep_07,1.56,Contacted,Open,,,
LD-300206,02/20/2025 10:44,Webinar,Competitive Exam Prep,International,Rep_15,2.84,Proposal Sent,Lost,No Response / Ghosted,$970.70,2025-03-25 11:59:03.825280
LD-300207,21-Oct-2025 16:43,Referral,Coding for Kids,West Region,Rep_03,3.53,Contacted,Open,,,
LD-300208,03/07/2025 09:53,Social Media,CODING FOR KIDS,East Region,Rep_04,0.5,Lead,Open,,,
LD-300209,11/28/2025 19:19,Organic search,Study Abroad Prep,North Region,Rep_06,5.13,Lead,Open,,,
LD-300210,07/30/2025 09:11,organic search,Language Learning,West Region,Rep_08,2.83,Contacted,Open,,,
LD-300211,2025-08-21 17:46:00,Partner Channel,Coding for Kids,North Region,Rep_11,23.84,Closed,Won,,649.01,2025-10-15 21:13:00.992015
