lead_id,created_at,source,product,region,rep,response_time_hours,stage_reached,status,lost_reason,deal_value,closed_at
LD-300040,2025-03-13 08:13:00,Paid Search,Competitive Exam Prep,North Region,Rep_11,5.64,Contacted,Open,,,
LD-300041,2026-03-18 17:40:00,Paid Search,Coding for Kids,North Region,Rep_06,8.36,Lead,Open,,,
LD-300042,2026-03-14 17:30:00,Webinar,Competitive Exam Prep,North Region,Rep_01,1.37,Closed,Won,,904.9,2026-04-30 00:05:39.115725
LD-300043,2025-08-05 07:38:00,Webinar,Coding for Kids,North Region,Rep_06,2.98,Contacted,Open,,,
LD-300044,2026-02-23 19:16:00,Referral,Language Learning,East Region,Rep_09,0.92,Negotiation,Lost,Price Objection,311.45,2026-03-24 04:39:50.403026
LD-300045,2026-06-05 13:50:00,Organic Search,K-12 Math,East Region,Rep_04,5.34,Contacted,Open,,,
LD-300046,2025-09-14 18:40:00,Cold Outreach,Coding for Kids,North Region,Rep_01,3.62,Lead,Open,,,
LD-300047,2025-07-15 17:56:00,Partner Channel,Study Abroad Prep,North Region,Rep_01,7.02,Contacted,Open,,,
LD-300048,2026-05-27 20:22:00,Referral,Coding for Kids,West Region,Rep_08,3.41,Closed,Won,,572.7,2026-06-29 01:06:46.159443
LD-300049,2025-05-28 11:58:00,Partner Channel,K-12 Math,East Region,Rep_09,1.27,Demo Completed,Lost,No Response / Ghosted,459.38,2025-06-21 00:50:06.965092
LD-300050,2026-02-18 20:45:00,Referral,K-12 Math,East Region,Rep_04,0.27,Closed,Won,,464.24,2026-04-01 16:27:38.559368
LD-300051,2026-01-27 17:56:00,Webinar,Competitive Exam Prep,West Region,Rep_08,1.12,Contacted,Open,,,
LD-300052,2025-11-02 16:13:00,Paid Search,Competitive Exam Prep,East Region,Rep_04,8.27,Negotiation,Lost,Price Objection,1000.06,2025-12-11 05:57:50.501004
LD-300053,2025-10-14 08:23:00,Cold Outreach,Competitive Exam Prep,East Region,Rep_04,2.19,Lead,Open,,,
LD-300054,2025-09-02 19:57:00,Organic Search,Coding for Kids,South Region,Rep_12,2.6,Contacted,Open,,,
LD-300055,2025-08-22 13:58:00,Partner Channel,Competitive Exam Prep,North Region,Rep_06,2.89,Contacted,Open,,,
LD-300056,2025-05-08 20:34:00,Referral,Competitive Exam Prep,West Region,Rep_08,2.61,Closed,Won,,960.65,2025-06-16 17:50:27.592409
LD-300057,2025-08-13 10:46:00,Social Media,Coding for Kids,West Region,Rep_08,15.1,Demo Completed,Lost,Price Objection,574.74,2025-09-16 07:25:05.485357
LD-300058,2025-09-26 13:29:00,Organic Search,K-12 Math,South Region,Rep_12,2.14,Demo Scheduled,Open,,,
LD-300059,2026-02-20 17:48:00,Webinar,Competitive Exam Prep,East Region,Rep_04,3.49,Contacted,Open,,,
LD-300060,2025-11-26 16:14:00,Organic Search,K-12 Math,South Region,Rep_07,1.72,Proposal Sent,Lost,Price Objection,552.96,2025-12-22 02:45:06.304175
LD-300061,2026-04-17 12:12:00,Cold Outreach,Competitive Exam Prep,West Region,Rep_13,2.8,Contacted,Open,,,
LD-300062,2026-03-10 20:40:00,Referral,Competitive Exam Prep,North Region,Rep_01,12.16,Contacted,Open,,,
LD-300063,2026-06-19 08:42:00,Paid Search,Study Abroad Prep,North Region,Rep_01,5.18,Contacted,Open,,,
LD-300064,2026-05-19 13:50:00,Webinar,Coding for Kids,International,Rep_10,2.27,Contacted,Open,,,
LD-300065,2026-01-19 19:04:00,Paid Search,Competitive Exam Prep,International,Rep_15,1.32,Contacted,Open,,,
LD-300066,2026-02-12 12:13:00,Social Media,Competitive Exam Prep,South Region,Rep_12,4.01,Contacted,Open,,,
LD-300067,2025-01-24 14:28:00,Webinar,K-12 Math,North Region,Rep_11,2.48,Closed,Won,,485.63,2025-02-24 23:37:36.990452
LD-300068,2026-05-15 15:56:00,Paid Search,Coding for Kids,West Region,Rep_03,2.03,Contacted,Open,,,
LD-300069,2025-06-19 09:43:00,Organic Search,Study Abroad Prep,South Region,Rep_02,0.44,Lead,Open,,,
LD-300070,2025-09-18 20:47:00,Social Media,Coding for Kids,West Region,Rep_03,6.31,Negotiation,Lost,Price Objection,529.34,2025-10-28 04:15:35.442355
LD-300071,2025-11-21 10:23:00,Cold Outreach,Coding for Kids,North Region,Rep_11,8.56,Demo Scheduled,Open,,,
LD-300072,2025-04-22 08:15:00,Cold Outreach,Competitive Exam Prep,South Region,Rep_02,19.31,Lead,Open,,,
LD-300073,2025-10-11 16:06:00,Organic Search,K-12 Math,West Region,Rep_08,5.22,Closed,Won,,414.78,2025-11-13 01:28:41.921589
LD-300074,2025-05-02 18:19:00,Cold Outreach,Competitive Exam Prep,South Region,Rep_12,3.25,Demo Completed,Lost,Went With Competitor,1164.37,2025-06-04 05:01:54.067642
LD-300075,2025-08-28 14:07:00,Organic Search,Study Abroad Prep,West Region,Rep_03,5.77,Contacted,Open,,,
LD-300076,2026-05-18 20:21:00,Organic Search,K-12 Math,South Region,Rep_12,8.49,Contacted,Open,,,
LD-300077,2025-03-06 09:24:00,Organic Search,Coding for Kids,North Region,Rep_11,6.65,Lead,Open,,,
LD-300078,2025-08-06 14:15:00,Social Media,Coding for Kids,North Region,Rep_01,2.92,Contacted,Open,,,
LD-300079,2026-04-26 14:59:00,Organic Search,Study Abroad Prep,International,Rep_05,9.22,Proposal Sent,Lost,Price Objection,1493.43,2026-06-19 09:03:14.537196
LD-300080,2025-09-26 12:56:00,Paid Search,Coding for Kids,North Region,Rep_06,5.8,Lead,Open,,,
LD-300081,2025-08-27 20:08:00,Webinar,K-12 Math,International,Rep_15,1.32,Contacted,Open,,,
LD-300082,2025-07-24 14:36:00,Social Media,Competitive Exam Prep,North Region,Rep_01,2.76,Lead,Open,,,
LD-300083,2026-05-08 19:43:00,Organic Search,K-12 Math,North Region,Rep_01,1.34,Proposal Sent,Lost,Price Objection,467.4,2026-06-12 00:03:20.076902
LD-300084,2025-12-04 19:27:00,Social Media,Language Learning,West Region,Rep_08,0.52,Closed,Won,,303.78,2026-01-05 05:54:32.836208
LD-300085,2026-03-18 18:31:00,Social Media,K-12 Math,West Region,Rep_13,2.82,Contacted,Open,,,
LD-300086,2026-03-20 14:44:00,Social Media,Language Learning,West Region,Rep_03,2.96,Lead,Open,,,
LD-300087,2025-10-09 17:46:00,Paid Search,Language Learning,North Region,Rep_06,2.58,Lead,Open,,,
LD-300088,2026-06-26 14:23:00,Social Media,Competitive Exam Prep,South Region,Rep_12,2.02,Contacted,Open,,,
LD-300089,2025-12-04 20:54:00,Organic Search,Study Abroad Prep,West Region,Rep_13,1.59,Contacted,Open,,,
LD-300090,2026-02-23 09:31:00,Paid Search,Coding for Kids,East Region,Rep_09,8.89,Demo Scheduled,Open,,,
LD-300091,2025-08-07 08:26:00,Referral,Competitive Exam Prep,East Region,Rep_14,4.16,Negotiation,Lost,Price Objection,1181.29,2025-09-16 10:00:49.420102
LD-300092,2025-01-17 13:02:00,Cold Outreach,Coding for Kids,East Region,Rep_14,2.7,Lead,Open,,,
LD-300093,2025-09-05 07:05:00,Organic Search,K-12 Math,South Region,Rep_12,0.99,Closed,Won,,496.76,2025-10-16 12:05:33.132715
LD-300094,2025-08-14 19:49:00,Organic Search,Competitive Exam Prep,South Region,Rep_07,1.57,Proposal Sent,Lost,Bad Timing,914.85,2025-10-07 02:50:04.365043
LD-300095,2025-02-04 08:16:00,Paid Search,Language Learning,West Region,Rep_13,3.37,Demo Scheduled,Open,,,
LD-300096,2025-06-05 11:09:00,Cold Outreach,Competitive Exam Prep,North Region,Rep_01,0.79,Contacted,Open,,,
LD-300097,2025-11-26 19:33:00,Organic Search,Competitive Exam Prep,South Region,Rep_12,1.27,Contacted,Open,,,
LD-300098,2025-04-03 12:49:00,Social Media,Competitive Exam Prep,International,Rep_05,0.61,Contacted,Open,,,
LD-300099,2025-01-19 11:49:00,Partner Channel,K-12 Math,North Region,Rep_11,2.67,Closed,Won,,434.29,2025-03-14 19:33:26.178526
LD-300100,2026-01-06 12:47:00,Social Media,Coding for Kids,International,Rep_15,2.16,Lead,Open,,,
LD-300101,2026-03-06 19:14:00,Organic Search,Study Abroad Prep,North Region,Rep_06,3.05,Lead,Open,,,
LD-300102,2025-01-10 15:21:00,Webinar,K-12 Math,North Region,Rep_11,13.92,Contacted,Open,,,
LD-300103,2026-03-27 15:41:00,Cold Outreach,K-12 Math,West Region,Rep_03,9.57,Lead,Open,,,
LD-300104,2026-02-23 09:31:00,Social Media,Coding for Kids,International,Rep_10,9.45,Contacted,Open,,,
LD-300105,2026-02-16 20:25:00,Webinar,K-12 Math,South Region,Rep_02,2.12,Contacted,Open,,,
LD-300106,2025-12-29 12:38:00,Social Media,Competitive Exam Prep,South Region,Rep_12,1.59,Demo Completed,Lost,Went With Competitor,1150.37,2026-01-31 10:46:27.534180
LD-300107,2026-04-24 12:11:00,Social Media,Coding for Kids,International,Rep_10,3.72,Lead,Open,,,
LD-300108,2026-03-16 16:15:00,Referral,Language Learning,South Region,Rep_12,10.12,Closed,Won,,367.36,2026-04-30 10:57:30.587351
LD-300109,2025-03-31 15:13:00,Paid Search,Language Learning,South Region,Rep_07,12.52,Contacted,Open,,,
LD-300110,2026-01-31 15:13:00,Organic Search,Language Learning,South Region,Rep_12,1.81,Negotiation,Lost,Went With Competitor,291.39,2026-03-14 06:13:13.093744
LD-300111,2025-02-03 13:50:00,Paid Search,K-12 Math,West Region,Rep_03,3.88,Contacted,Open,,,
LD-300112,2025-12-26 08:15:00,Organic Search,Competitive Exam Prep,South Region,Rep_12,5.55,Contacted,Open,,,
LD-300113,2025-07-04 20:29:00,Webinar,K-12 Math,West Region,Rep_08,3.88,Demo Completed,Lost,Bad Timing,596.97,2025-08-14 05:35:53.477437
LD-300114,2026-03-06 17:56:00,Paid Search,Coding for Kids,International,Rep_10,7.21,Contacted,Open,,,
LD-300115,2025-08-15 13:56:00,Referral,Coding for Kids,South Region,Rep_12,1.2,Closed,Won,,731.11,2025-09-22 16:20:26.051770
LD-300116,2026-03-28 17:10:00,Cold Outreach,Competitive Exam Prep,West Region,Rep_13,3.41,Demo Completed,Lost,No Response / Ghosted,1181.44,2026-04-28 17:46:14.907042
LD-300117,2025-08-06 10:08:00,Organic Search,Competitive Exam Prep,International,Rep_10,0.69,Contacted,Open,,,
LD-300118,2026-01-30 18:35:00,Social Media,K-12 Math,South Region,Rep_07,2.21,Lead,Open,,,
LD-300119,2025-07-31 11:23:00,Partner Channel,K-12 Math,International,Rep_05,1.59,Negotiation,Lost,Price Objection,438.6,2025-09-17 06:39:05.328985
LD-300120,2026-01-02 07:59:00,Organic Search,K-12 Math,West Region,Rep_13,0.83,Proposal Sent,Lost,No Response / Ghosted,503.0,2026-02-08 09:23:26.333811
LD-300121,2025-08-15 10:12:00,Paid Search,Study Abroad Prep,East Region,Rep_04,1.28,Lead,Open,,,
LD-300122,2025-05-09 11:54:00,Paid Search,Competitive Exam Prep,East Region,Rep_09,9.23,Contacted,Open,,,
LD-300123,2025-10-17 16:18:00,Organic Search,K-12 Math,South Region,Rep_12,4.69,Contacted,Open,,,
LD-300124,2026-04-18 07:09:00,Partner Channel,Coding for Kids,South Region,Rep_02,3.77,Proposal Sent,Lost,Price Objection,724.34,2026-05-21 00:42:56.478330
LD-300125,2025-10-23 16:30:00,Paid Search,Coding for Kids,West Region,Rep_03,13.52,Contacted,Open,,,
LD-300126,2025-04-08 17:38:00,Organic Search,K-12 Math,North Region,Rep_06,9.44,Demo Scheduled,Open,,,
LD-300127,2025-07-19 07:11:00,Social Media,Competitive Exam Prep,South Region,Rep_02,4.44,Contacted,Open,,,
LD-300128,2025-12-19 11:51:00,Cold Outreach,Competitive Exam Prep,West Region,Rep_03,0.65,Lead,Open,,,
LD-300129,2025-12-07 19:48:00,Social Media,K-12 Math,South Region,Rep_07,1.0,Lead,Open,,,
LD-300130,2026-02-06 18:15:00,Paid Search,Competitive Exam Prep,International,Rep_05,1.35,Lead,Open,,,
LD-300131,2025-04-28 17:02:00,Paid Search,Competitive Exam Prep,North Region,Rep_11,1.07,Proposal Sent,Lost,Bad Timing,892.09,2025-05-29 03:59:37.554165
LD-300132,2025-02-25 19:43:00,Social Media,K-12 Math,North Region,Rep_11,2.9,Contacted,Open,,,
LD-300133,2025-03-07 11:27:00,Paid Search,Coding for Kids,South Region,Rep_07,6.26,Contacted,Open,,,
LD-300134,2025-05-01 16:22:00,Cold Outreach,Language Learning,West Region,Rep_13,5.86,Contacted,Open,,,
LD-300135,2025-11-05 10:35:00,Paid Search,K-12 Math,West Region,Rep_03,0.67,Contacted,Open,,,
LD-300136,2025-03-10 18:34:00,Organic Search,K-12 Math,South Region,Rep_02,1.54,Contacted,Open,,,
LD-300137,2026-06-29 14:58:00,Paid Search,Coding for Kids,West Region,Rep_13,1.17,Contacted,Open,,,
LD-300138,2026-02-25 10:21:00,Social Media,Competitive Exam Prep,South Region,Rep_07,3.37,Contacted,Open,,,
LD-300139,2025-11-10 07:24:00,Organic Search,K-12 Math,International,Rep_10,1.49,Demo Scheduled,Open,,,
LD-300140,2026-04-08 09:09:00,Paid Search,K-12 Math,West Region,Rep_08,1.61,Proposal Sent,Lost,Price Objection,463.67,2026-05-11 21:49:35.040118
LD-300141,2026-04-07 20:55:00,Organic Search,Competitive Exam Prep,West Region,Rep_03,2.51,Contacted,Open,,,
LD-300142,2026-03-20 09:28:00,Organic Search,Language Learning,East Region,Rep_14,3.09,Contacted,Open,,,
LD-300143,2025-12-09 13:14:00,Social Media,Competitive Exam Prep,South Region,Rep_12,0.91,Closed,Won,,998.27,2026-01-07 16:32:10.563562
LD-300144,2026-03-09 16:41:00,Cold Outreach,Competitive Exam Prep,South Region,Rep_12,4.36,Demo Scheduled,Open,,,
LD-300145,2026-06-02 15:07:00,Partner Channel,Competitive Exam Prep,West Region,Rep_03,9.44,Demo Completed,Lost,Price Objection,979.19,2026-06-29 09:56:55.168991
LD-300146,2025-06-09 07:15:00,Organic Search,Competitive Exam Prep,North Region,Rep_11,3.12,Contacted,Open,,,
LD-300147,2025-07-02 16:09:00,Cold Outreach,Language Learning,South Region,Rep_07,1.3,Lead,Open,,,
LD-300148,2025-03-14 15:06:00,Cold Outreach,Study Abroad Prep,South Region,Rep_07,8.72,Lead,Open,,,
LD-300149,2025-01-30 16:53:00,Social Media,Competitive Exam Prep,International,Rep_05,8.85,Contacted,Open,,,
LD-300150,2025-06-30 20:11:00,Social Media,Study Abroad Prep,North Region,Rep_01,1.69,Lead,Open,,,
LD-300151,2025-12-07 08:53:00,Organic Search,Coding for Kids,West Region,Rep_13,1.48,Demo Completed,Lost,Went With Competitor,648.59,2026-01-11 07:04:40.118489
LD-300152,2025-01-21 10:18:00,Partner Channel,Competitive Exam Prep,West Region,Rep_08,1.14,Demo Completed,Lost,No Response / Ghosted,913.27,2025-03-11 05:50:06.615876
LD-300153,2026-04-09 14:07:00,Organic Search,Competitive Exam Prep,West Region,Rep_03,5.66,Demo Completed,Lost,Went With Competitor,1124.65,2026-05-16 13:41:15.429469
LD-300154,2026-01-30 12:12:00,Webinar,Competitive Exam Prep,East Region,Rep_14,3.6,Proposal Sent,Lost,Price Objection,1009.47,2026-03-24 08:28:33.181285
LD-300155,2025-03-07 08:51:00,Referral,Language Learning,West Region,Rep_13,2.33,Contacted,Open,,,
LD-300156,2025-03-01 10:26:00,Paid Search,Competitive Exam Prep,South Region,Rep_12,3.08,Proposal Sent,Lost,Went With Competitor,968.12,2025-04-09 13:59:19.728308
LD-300157,2026-06-29 14:28:00,Paid Search,Competitive Exam Prep,West Region,Rep_13,1.88,Lead,Open,,,
LD-300158,2025-04-09 13:40:00,Webinar,Language Learning,West Region,Rep_03,2.46,Contacted,Open,,,
LD-300159,2025-11-15 19:42:00,Paid Search,Coding for Kids,West Region,Rep_08,3.67,Contacted,Open,,,
LD-300160,2026-04-21 07:09:00,Social Media,Language Learning,South Region,Rep_12,0.36,Demo Completed,Lost,Price Objection,364.32,2026-05-10 12:00:02.146823
LD-300161,2025-03-21 16:35:00,Cold Outreach,K-12 Math,East Region,Rep_14,3.64,Lead,Open,,,
LD-300162,2025-10-31 17:15:00,Cold Outreach,K-12 Math,North Region,Rep_11,2.59,Contacted,Open,,,
LD-300163,2025-01-10 09:07:00,Webinar,K-12 Math,South Region,Rep_12,3.83,Closed,Won,,541.66,2025-02-12 23:49:00.342015
LD-300164,2026-03-15 16:06:00,Referral,Study Abroad Prep,South Region,Rep_12,2.06,Contacted,Open,,,
LD-300165,2026-05-03 15:45:00,Paid Search,Language Learning,North Region,Rep_06,1.29,Contacted,Open,,,
LD-300166,2025-12-26 07:37:00,Referral,Language Learning,South Region,Rep_02,7.1,Closed,Won,,301.61,2026-02-02 09:33:15.998939
LD-300167,2025-11-23 09:21:00,Webinar,K-12 Math,International,Rep_15,3.13,Closed,Won,,458.4,2026-01-04 05:41:41.938970
LD-300168,2025-02-27 17:27:00,Organic Search,Study Abroad Prep,South Region,Rep_02,3.24,Demo Completed,Lost,Bad Timing,1321.0,2025-03-31 12:53:27.572940
LD-300169,2025-03-08 09:58:00,Organic Search,Language Learning,West Region,Rep_03,3.82,Contacted,Open,,,
LD-300170,2025-03-28 11:41:00,Organic Search,Competitive Exam Prep,North Region,Rep_11,3.76,Contacted,Open,,,
LD-300171,2025-05-04 14:46:00,Referral,K-12 Math,West Region,Rep_08,0.79,Closed,Won,,415.79,2025-06-14 04:49:31.884130
LD-300172,2025-06-27 19:12:00,Webinar,Language Learning,West Region,Rep_13,4.6,Closed,Won,,382.75,2025-08-11 02:27:25.542150
LD-300173,2025-05-02 11:06:00,Partner Channel,Coding for Kids,South Region,Rep_07,1.65,Contacted,Open,,,
LD-300174,2025-06-13 18:14:00,Social Media,Language Learning,South Region,Rep_07,14.17,Demo Completed,Lost,No Response / Ghosted,349.42,2025-07-12 09:00:24.522141
LD-300175,2026-04-05 08:56:00,Social Media,Coding for Kids,South Region,Rep_07,2.2,Proposal Sent,Lost,Went With Competitor,757.04,2026-05-04 14:37:45.454412
LD-300176,2025-06-20 17:30:00,Paid Search,Language Learning,South Region,Rep_12,1.46,Lead,Open,,,
LD-300177,2025-07-24 16:31:00,Social Media,Language Learning,North Region,Rep_11,1.4,Demo Completed,Lost,Went With Competitor,391.35,2025-08-26 04:26:19.838031
LD-300178,2025-06-04 13:10:00,Organic Search,K-12 Math,West Region,Rep_08,2.13,Contacted,Open,,,
LD-300179,2026-03-31 11:13:00,Cold Outreach,K-12 Math,East Region,Rep_14,6.19,Lead,Open,,,
LD-300180,2026-04-24 18:36:00,Paid Search,Language Learning,International,Rep_10,5.49,Lead,Open,,,
LD-300181,2026-06-16 10:15:00,Organic Search,Coding for Kids,South Region,Rep_02,14.7,Contacted,Open,,,
LD-300182,2025-07-10 07:53:00,Referral,K-12 Math,South Region,Rep_07,4.66,Lead,Open,,,
LD-300183,2025-09-16 18:57:00,Webinar,Competitive Exam Prep,North Region,Rep_01,1.09,Closed,Won,,901.66,2025-10-28 01:05:53.679192
LD-300184,2025-08-12 11:11:00,Paid Search,Study Abroad Prep,North Region,Rep_01,10.61,Contacted,Open,,,
LD-300185,2025-02-07 10:09:00,Referral,Language Learning,South Region,Rep_12,4.45,Proposal Sent,Lost,Price Objection,304.02,2025-03-14 17:53:46.518614
LD-300186,2026-04-28 09:22:00,Organic Search,Competitive Exam Prep,North Region,Rep_11,5.37,Contacted,Open,,,
LD-300187,2026-05-20 16:56:00,Partner Channel,K-12 Math,West Region,Rep_13,1.75,Contacted,Open,,,
LD-300188,2026-03-27 15:56:00,Social Media,K-12 Math,East Region,Rep_04,1.09,Lead,Open,,,
LD-300189,2026-03-23 08:03:00,Organic Search,Language Learning,West Region,Rep_08,1.82,Closed,Won,,375.52,2026-05-19 06:14:29.251920
LD-300190,2025-07-04 07:15:00,Webinar,K-12 Math,South Region,Rep_02,5.25,Closed,Won,,528.3,2025-08-18 20:19:34.155664
LD-300191,2026-06-18 12:21:00,Webinar,Coding for Kids,North Region,Rep_01,5.9,Contacted,Open,,,
LD-300192,2025-08-28 14:27:00,Referral,K-12 Math,West Region,Rep_03,6.23,Negotiation,Lost,Price Objection,482.65,2025-10-23 22:07:50.507283
LD-300193,2026-02-05 10:50:00,Cold Outreach,K-12 Math,North Region,Rep_01,3.27,Contacted,Open,,,
LD-300194,2026-03-10 17:09:00,Organic Search,K-12 Math,International,Rep_10,1.88,Proposal Sent,Lost,No Response / Ghosted,551.59,2026-04-18 11:14:30.564780
LD-300195,2025-08-23 09:50:00,Partner Channel,Competitive Exam Prep,East Region,Rep_09,2.19,Lead,Open,,,
LD-300196,2025-04-15 11:57:00,Paid Search,Competitive Exam Prep,South Region,Rep_07,4.31,Contacted,Open,,,
LD-300197,2026-06-29 18:11:00,Paid Search,Coding for Kids,International,Rep_05,39.88,Contacted,Open,,,
LD-300198,2025-09-05 19:44:00,Paid Search,Language Learning,East Region,Rep_14,5.53,Demo Scheduled,Open,,,
LD-300199,2025-11-11 12:37:00,Paid Search,Competitive Exam Prep,West Region,Rep_13,1.01,Proposal Sent,Lost,Price Objection,1021.5,2025-12-17 00:07:14.208179
LD-300200,2026-04-21 14:19:00,Webinar,K-12 Math,East Region,Rep_14,1.26,Contacted,Open,,,
LD-300201,2025-08-01 16:36:00,Webinar,K-12 Math,East Region,Rep_14,2.63,Negotiation,Lost,Price Objection,541.28,2025-10-03 17:43:04.642955
LD-300202,2026-02-19 07:42:00,Social Media,K-12 Math,North Region,Rep_11,4.04,Demo Completed,Lost,No Response / Ghosted,420.26,2026-03-22 04:59:31.173606
LD-300203,2025-06-16 19:50:00,Referral,Study Abroad Prep,West Region,Rep_13,5.62,Negotiation,Lost,Bad Timing,1533.79,2025-07-29 06:13:51.025540
LD-300204,2025-04-21 10:47:00,Cold Outreach,Study Abroad Prep,North Region,Rep_06,3.57,Lead,Open,,,
LD-300205,2025-03-22 19:39:00,Referral,Study Abroad Prep,South Region,Rep_07,1.56,Contacted,Open,,,
LD-300206,2025-02-20 10:44:00,Webinar,Competitive Exam Prep,International,Rep_15,2.84,Proposal Sent,Lost,No Response / Ghosted,970.7,2025-03-25 11:59:03.825280
LD-300207,2025-10-21 16:43:00,Referral,Coding for Kids,West Region,Rep_03,3.53,Contacted,Open,,,
LD-300208,2025-03-07 09:53:00,Social Media,Coding for Kids,East Region,Rep_04,0.5,Lead,Open,,,
LD-300209,2025-11-28 19:19:00,Organic Search,Study Abroad Prep,North Region,Rep_06,5.13,Lead,Open,,,
